,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,^VIX,^VIX,^VIX,^VIX,^VIX,^VIX,SPY,SPY,SPY,SPY,SPY,SPY
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,
2021-01-26,3296.360107421875,3338.0,3282.8701171875,3326.1298828125,3326.1298828125,2955200,23.90999984741211,23.940000534057617,22.549999237060547,23.020000457763672,23.020000457763672,0,385.4100036621094,385.8500061035156,383.5400085449219,383.7900085449219,383.7900085449219,42665300
2021-01-27,3341.489990234375,3346.52001953125,3207.080078125,3232.580078125,3232.580078125,4660200,23.81999969482422,37.209999084472656,23.709999084472656,37.209999084472656,37.209999084472656,0,380.2200012207031,380.32000732421875,372.010009765625,374.4100036621094,374.4100036621094,123351100
2021-01-28,3235.0400390625,3301.679931640625,3228.68994140625,3237.6201171875,3237.6201171875,3149200,33.25,36.290000915527344,27.389999389648438,30.209999084472656,30.209999084472656,0,376.3599853515625,381.92999267578125,375.8900146484375,377.6300048828125,377.6300048828125,94198100
2021-01-29,3230.0,3236.989990234375,3184.550048828125,3206.199951171875,3206.199951171875,4285600,35.15999984741211,37.5099983215332,29.239999771118164,33.09000015258789,33.09000015258789,0,375.6300048828125,376.6700134277344,368.2699890136719,370.07000732421875,370.07000732421875,126618400
2021-02-01,3242.360107421875,3350.260009765625,3235.030029296875,3342.8798828125,3342.8798828125,4160200,31.450000762939453,33.959999084472656,29.030000686645508,30.239999771118164,30.239999771118164,0,373.7200012207031,377.3399963378906,370.3800048828125,376.2300109863281,376.2300109863281,75817600
2021-02-02,3380.0,3427.739990234375,3361.1298828125,3380.0,3380.0,7098600,28.010000228881836,28.079999923706055,25.309999465942383,25.559999465942383,25.559999465942383,0,379.6499938964844,383.2200012207031,376.32000732421875,381.54998779296875,381.54998779296875,64450700
2021-02-03,3425.010009765625,3434.0,3308.6201171875,3312.530029296875,3312.530029296875,7088800,24.59000015258789,25.43000030517578,22.90999984741211,22.90999984741211,22.90999984741211,0,382.44000244140625,383.70001220703125,380.4800109863281,381.8500061035156,381.8500061035156,52427100
2021-02-04,3330.0,3347.0,3277.75,3331.0,3331.0,3670700,23.440000534057617,23.440000534057617,21.68000030517578,21.770000457763672,21.770000457763672,0,382.9599914550781,386.239990234375,381.9700012207031,386.19000244140625,386.19000244140625,47142600
2021-02-05,3319.0,3377.0,3302.7099609375,3352.14990234375,3352.14990234375,3613600,21.989999771118164,22.15999984741211,20.860000610351562,20.8700008392334,20.8700008392334,0,388.20001220703125,388.4700012207031,386.1400146484375,387.7099914550781,387.7099914550781,48620300
2021-02-08,3358.5,3365.0,3304.0,3322.93994140625,3322.93994140625,3257400,21.889999389648438,22.06999969482422,21.229999542236328,21.239999771118164,21.239999771118164,0,389.2699890136719,390.55999755859375,388.3500061035156,390.510009765625,390.510009765625,38365200
2021-02-09,3312.489990234375,3338.0,3297.840087890625,3305.0,3305.0,2203500,21.56999969482422,22.260000228881836,20.649999618530273,21.6299991607666,21.6299991607666,0,389.6099853515625,390.8900146484375,389.1700134277344,390.25,390.25,35551100
2021-02-10,3314.0,3317.949951171875,3254.0,3286.580078125,3286.580078125,3151600,21.639999389648438,23.850000381469727,19.690000534057617,21.989999771118164,21.989999771118164,0,392.1199951171875,392.2799987792969,387.5,390.0799865722656,390.0799865722656,59154400
2021-02-11,3292.0,3292.0,3248.06005859375,3262.1298828125,3262.1298828125,2295800,22.09000015258789,23.25,21.110000610351562,21.25,21.25,0,391.239990234375,391.69000244140625,388.1000061035156,390.7099914550781,390.7099914550781,42755400
2021-02-12,3250.0,3280.25,3233.31005859375,3277.7099609375,3277.7099609375,2329300,21.600000381469727,22.450000762939453,19.950000762939453,19.969999313354492,19.969999313354492,0,389.8500061035156,392.8999938964844,389.7699890136719,392.6400146484375,392.6400146484375,50505700
2021-02-16,3254.050048828125,3308.300048828125,3253.590087890625,3268.949951171875,3268.949951171875,2563200,21.1299991607666,22.459999084472656,20.8799991607666,21.459999084472656,21.459999084472656,0,393.9599914550781,394.1700134277344,391.5299987792969,392.29998779296875,392.29998779296875,50700800
2021-02-17,3263.60009765625,3320.909912109375,3259.5,3308.639892578125,3308.639892578125,3297500,22.020000457763672,23.440000534057617,21.09000015258789,21.5,21.5,0,390.4200134277344,392.6600036621094,389.3299865722656,392.3900146484375,392.3900146484375,52290600
2021-02-18,3282.419921875,3338.0,3273.93994140625,3328.22998046875,3328.22998046875,3027400,21.979999542236328,24.229999542236328,21.799999237060547,22.489999771118164,22.489999771118164,0,389.5899963378906,391.5199890136719,387.739990234375,390.7200012207031,390.7200012207031,59552200
2021-02-19,3328.22998046875,3333.5,3245.75,3249.89990234375,3249.89990234375,4297200,23.100000381469727,23.190000534057617,20.84000015258789,22.049999237060547,22.049999237060547,0,392.07000732421875,392.3800048828125,389.54998779296875,390.0299987792969,390.0299987792969,83142800
2021-02-22,3208.1298828125,3232.320068359375,3172.260009765625,3180.739990234375,3180.739990234375,3504600,24.459999084472656,25.09000015258789,21.959999084472656,23.450000762939453,23.450000762939453,0,387.05999755859375,389.6199951171875,386.739990234375,387.0299987792969,387.0299987792969,67160000
2021-02-23,3127.030029296875,3204.72998046875,3093.60009765625,3194.5,3194.5,4669500,22.81999969482422,27.010000228881836,22.5,23.110000610351562,23.110000610351562,0,384.6600036621094,388.95001220703125,380.20001220703125,387.5,387.5,106997200
2021-02-24,3166.75,3171.22998046875,3125.3798828125,3159.530029296875,3159.530029296875,3003000,23.760000228881836,25.040000915527344,21.309999465942383,21.34000015258789,21.34000015258789,0,386.3299865722656,392.2300109863281,385.2699890136719,391.7699890136719,391.7699890136719,72226600
2021-02-25,3136.739990234375,3178.260009765625,3047.760009765625,3057.159912109375,3057.159912109375,4258824,21.729999542236328,31.15999984741211,21.520000457763672,28.889999389648438,28.889999389648438,0,390.4100036621094,391.8699951171875,380.7789001464844,382.3299865722656,382.3299865722656,140680224
