strike,market_price,vol,delta,gamma,theta,vega
394.0,8.07,0.1593,-0.5691,0.0246,-47.8872,39.6828
393.0,7.54,0.1604,-0.544,0.0246,-48.4817,39.8297
392.0,7.11,0.1633,-0.5188,0.0243,-49.6521,39.9765
391.0,6.735,0.1671,-0.4944,0.0238,-51.0491,40.1164
390.0,6.365,0.1703,-0.471,0.0233,-51.7628,39.9324
389.0,5.985,0.1728,-0.4483,0.0228,-52.13,39.6961
388.0,5.68,0.1766,-0.4266,0.0221,-52.9115,39.4676
387.0,5.375,0.1799,-0.4058,0.0215,-53.4248,39.1789
386.0,5.175,0.1854,-0.3874,0.0206,-54.2052,38.6722
385.0,4.835,0.1869,-0.3677,0.02,-53.6883,38.1335
